"","route_pattern_id","route_id","direction_id","route_pattern_name","route_pattern_time_desc","route_pattern_typicality","route_pattern_sort_order","representative_trip_id"
"132","708-_-0","708",0,"Andrew Station - Brookline Ave","Weekdays only",1,40030003,"50248220"
"133","708-_-1","708",1,"Brookline Ave - Andrew Station","Weekdays only",1,40030100,"50248214"
"134","708-1-1","708",1,"Ave Louis Pasteur - Andrew Station","Weekdays only",1,40030103,"50248213"
"135","1-_-0","1",0,"Nubian Station - Harvard Square","",1,50010000,"50262322"
"136","1-_-1","1",1,"Harvard Square - Nubian Station","",1,50010100,"50262323"
"137","4-1-0","4",0,"Tide St - North Station","Weekdays only",1,50040000,"50248401"
"138","4-_-0","4",0,"Tide St - North Station via South Station","Weekday mornings only",1,50040002,"50248396"
"139","4-1-1","4",1,"North Station - Tide St via South Station","Weekdays only",1,50040100,"50248413"
"140","4-_-1","4",1,"North Station - Tide St","Weekdays only",1,50040103,"50248407"
"141","7-1-0","7",0,"Otis St & Summer St - City Point","",1,50070000,"50261983"
"142","7-2-0","7",0,"Otis St & Summer St - City Point via East 1st St","Weekdays only",2,50070004,"50261984"
"143","7-7-0","7",0,"Chauncy St & Summer St - City Point","AM peak hours only",3,50070007,"50261732"
"144","7-1-1","7",1,"City Point - Otis St & Summer St","",1,50070100,"50261825"
"145","7-2-1","7",1,"City Point - Otis St & Summer St via East 1st St","Weekdays only",2,50070104,"50261921"
"146","8-9-0","8",0,"Kenmore Station - Harbor Point via South Bay Center","",1,50080000,"50260869"
"147","8-1-0","8",0,"Kenmore Station - Harbor Point","",2,50080004,"50260970"
"148","8-D-0","8",0,"Kenmore Station - Ruggles Station","School days only",3,50080008,"50263409_2"
"149","8-9-1","8",1,"Harbor Point - Kenmore Station via South Bay Center","",1,50080100,"50260803"
"150","8-1-1","8",1,"Harbor Point - Kenmore Station","",2,50080104,"50260871"
"151","8-D-1","8",1,"Ruggles Station - Kenmore Station","School days only",3,50080108,"50248981_2"
"152","9-_-0","9",0,"Copley Station - City Point","",1,50090000,"50261755"
"153","9-1-0","9",0,"Copley Station - City Point via L St","Weekday mornings only",2,50090004,"50261736"
"154","9-5-0","9",0,"Ave Louis Pasteur - City Point via Andrew Station","School days only",3,50090007,"50263401"
"155","9-_-1","9",1,"City Point - Copley Station","",1,50090100,"50261824"
"156","9-4-1","9",1,"City Point - Kenmore Station via Ave Louis Pasteur","School days only",3,50090104,"50263382"
"157","10-9-0","10",0,"Copley Square - City Point via South Bay Center","",1,50100000,"50262203"
"158","10-8-0","10",0,"Townsend St & Warren St - City Point via Nubian Station","School days only",3,50100004,"50263396"
"159","10-E-0","10",0,"Andrew Station - City Point","School days only",3,50100006,"50263390_2"
"160","10-5-0","10",0,"Copley Station - City Point","Late nights only",3,50100008,"50262103"
"161","10-9-1","10",1,"City Point - Copley Square via South Bay Center","",1,50100100,"50262104"
"162","10-2-1","10",1,"City Point - Franklin Park via Andrew","School days only",3,50100104,"50263381"
"163","11-3-0","11",0,"Chauncy St & Summer St - City Point","",1,50110000,"50262048"
"164","11-3-1","11",1,"City Point - Chauncy St & Summer St","",1,50110100,"50262105"
"165","14-_-0","14",0,"Heath St - Roslindale Square","",1,50140000,"50413559"
"166","14-_-1","14",1,"Roslindale Square - Heath St","",1,50140100,"50413560"
"167","15-_-0","15",0,"Ruggles Station - Kane Square","Weekdays only",1,50150000,"50260874"
"168","15-2-0","15",0,"Ruggles Station - St Peter's Square","Weekday middays only",2,50150003,"50261059"
"169","15-1-0","15",0,"Ruggles Station - Fields Corner Station","",2,50150005,"50261193"
"170","15-3-0","15",0,"Nubian Station - Kane Square","School days only",3,50150008,"50263384"
"171","15-6-0","15",0,"Malcolm X Blvd - Fields Corner Station","School days only",3,50150010,"50263403"
"172","15-H-0","15",0,"Haymarket Station - Mattapan Station","Early mornings only",3,50150012,"50262263"
"173","15-_-1","15",1,"Kane Square - Ruggles Station","Weekdays only",1,50150100,"50260804"
"174","15-2-1","15",1,"St Peter's Square - Ruggles Station","Weekday middays only",2,50150103,"50261248"
"175","15-1-1","15",1,"Fields Corner Station - Ruggles Station","",2,50150105,"50261186"
"176","15-4-1","15",1,"Ashmont Station - Nubian Station","Early mornings only",3,50150109,"50260900"
"177","15-3-1","15",1,"Kane Square - Nubian Station","School days only",3,50150112,"50263391"
"178","15-H-1","15",1,"Mattapan Station - Haymarket Station","Early mornings only",3,50150114,"50262262"
"179","16-9-0","16",0,"Andrew Station - Forest Hills Station via South Bay Center","",2,50160000,"50261184"
"180","16-5-0","16",0,"McCormack Housing - Forest Hills via South Bay Center","",2,50160004,"50261237"
"181","16-3-0","16",0,"Andrew Station - Forest Hills Station","",2,50160007,"50261182"
"182","16-8-0","16",0,"Harbor Point - Forest Hills Station via South Bay Center","Weekdays only",2,50160011,"50261191"
"183","16-2-0","16",0,"Harbor Point - Forest Hills Station","Weekdays only",2,50160013,"50261203"
"184","16-7-0","16",0,"Andrew Station - Forest Hills Station, Upper Busway","Weekday early mornings only",3,50160015,"50314392"
"185","16-9-1","16",1,"Forest Hills Station - Andrew Station via South Bay Center","",2,50160100,"50261189"
"186","16-5-1","16",1,"Forest Hills - McCormack Housing via South Bay Center","",2,50160104,"50261188"
"187","16-3-1","16",1,"Forest Hills Station - Andrew Station","",2,50160107,"50261176"
"188","16-8-1","16",1,"Forest Hills Station - Harbor Point via South Bay Center","Weekdays only",2,50160111,"50261178"
"189","16-2-1","16",1,"Forest Hills Station - Harbor Point","Weekdays only",2,50160113,"50261179"
"190","16-E-1","16",1,"Franklin Park - Andrew Station","School days only",3,50160116,"50263390_1"
"191","17-_-0","17",0,"Andrew Station - Fields Corner Station","",1,50170000,"50260805"
"192","17-_-1","17",1,"Fields Corner Station - Andrew Station","",1,50170100,"50260806"
"193","18-1-0","18",0,"Andrew Station - Ashmont Station","",1,50180000,"50263312"
"194","18-1-1","18",1,"Ashmont Station - Andrew Station","",1,50180100,"50263314"
"195","19-3-0","19",0,"Kenmore Station - Fields Corner Station","Weekdays only",1,50190000,"50260956"
"196","19-_-0","19",0,"Ruggles Station - Fields Corner Station","Weekdays only",2,50190003,"50260817"
"197","19-F-0","19",0,"Warren St & Townsend St - Fields Corner Station","School days only",3,50190006,"50263393_1"
"198","19-1-0","19",0,"Malcolm X Blvd - Fields Corner Station","School days only",3,50190008,"50263402"
"199","19-E-0","19",0,"Ave Louis Pasteur - Fields Corner Station","School days only",3,50190010,"50263400_1"
"200","19-3-1","19",1,"Fields Corner Station - Kenmore Station","Weekdays only",1,50190100,"50260954"
"201","19-_-1","19",1,"Fields Corner Station - Ruggles Station","Weekdays only",2,50190103,"50260818"
"202","19-E-1","19",1,"Fields Corner Station - Ave Louis Pasteur","School days only",3,50190106,"50263370_2"
"203","21-_-0","21",0,"Forest Hills Station - Ashmont Station","",1,50210000,"50412075_2"
"204","21-_-1","21",1,"Ashmont Station - Forest Hills Station","",1,50210100,"50412084"
"205","21-B-1","21",1,"Ashmont Station - Forest Hills Station","School days only",3,50210104,"50412074_1"
"206","22-_-0","22",0,"Ruggles Station - Ashmont Station","",1,50220000,"50262806"
"207","22-1-0","22",0,"Malcolm X Blvd - Ashmont Station","School days only",3,50220004,"50263404"
"208","22-2-0","22",0,"Ave Louis Pasteur - Ashmont Station","School days only",3,50220006,"50263399"
"209","22-3-0","22",0,"Warren St & Townsend St - Ashmont Station","School days only",3,50220008,"50263392"
"210","22-_-1","22",1,"Ashmont Station - Ruggles Station","",1,50220100,"50248981_1"
"211","23-_-0","23",0,"Ruggles Station - Ashmont Station","",1,50230000,"50262683"
"212","23-1-0","23",0,"Townsend St & Warren St - Ashmont Station","School days only",3,50230004,"50263394"
"213","23-3-0","23",0,"Malcolm X Blvd - Ashmont Station","School days only",3,50230006,"50263405"
"214","23-E-0","23",0,"Nubian Station - Franklin Park","School days only",3,50230008,"50263407_3"
"215","23-_-1","23",1,"Ashmont Station - Ruggles Station","",1,50230100,"50262577"
"216","23-G-1","23",1,"Warren St & Quincy St - Nubian Station","School days only",3,50230104,"50248994_1"
"217","23-2-1","23",1,"Ashmont Station - Nubian Station","School days only",3,50230106,"50262254"
"218","24-2-0","24",0,"Ashmont Station - Wakefield Ave & Truman Pkwy","",1,50240000,"50412265"
"219","24-6-0","24",0,"Ashmont Station - Millennium Park","School days only",3,50240004,"50412298"
"220","24-_-0","24",0,"Mattapan Station - Wakefield Ave & Truman Pkwy","Early mornings only",3,50240006,"50418948"
"221","24-2-1","24",1,"Wakefield Ave & Truman Pkwy - Ashmont Station","",1,50240100,"50412266"
"222","24-6-1","24",1,"Millennium Park - Ashmont Station","School days only",3,50240104,"50412299"
"223","24-5-1","24",1,"Logan Square - Ashmont Station","Early mornings only",3,50240106,"50418957"
"224","26-1-0","26",0,"Gallivan Blvd - Ashmont Station via Washington St","",1,50260000,"50412488"
"225","26-2-0","26",0,"Gallivan Blvd - Ashmont Station via Norfolk St","",2,50260004,"50412007"
"226","26-1-1","26",1,"Ashmont Station - Gallivan Blvd via Norfolk St","",1,50260100,"50412489"
"227","26-2-1","26",1,"Ashmont Station - Gallivan Blvd via Washington St","",2,50260104,"50412006"
"228","28-_-0","28",0,"Ruggles Station - Mattapan Station","",1,50280000,"50315056"
"229","28-9-0","28",0,"Ave Louis Pasteur - Mattapan Station","School days only",3,50280004,"50411992"
"230","28-6-0","28",0,"Malcolm X Blvd - Mattapan Station (Omits Nubian Station)","School days only",3,50280006,"50263406"
"231","28-_-1","28",1,"Mattapan Station - Ruggles Station","",1,50280100,"50315054"
"232","28-2-1","28",1,"Mattapan Station - Nubian Station","Early mornings only",3,50280104,"50260898"
"233","28-5-1","28",1,"Townsend St & Warren St - Ruggles Station","School days only",3,50280107,"50263398"
"234","29-5-0","29",0,"Jackson Square Station - Mattapan Station","Weekdays only",1,50290000,"50412254"
"235","29-1-0","29",0,"Jackson Square Station - Mattapan Station via Franklin Field","Weekdays only",1,50290003,"50412230"
"236","29-_-0","29",0,"Ruggles Station - Mattapan Station","",2,50290006,"50413607"
"237","29-5-1","29",1,"Mattapan Station - Jackson Square Station","Weekdays only",1,50290100,"50412240"
"238","29-1-1","29",1,"Mattapan Station - Jackson Square Station via Franklin Field","Weekdays only",1,50290103,"50412220"
"239","29-_-1","29",1,"Mattapan Station - Ruggles Station","Evenings only",2,50290105,"50413599"
"240","30-2-0","30",0,"Forest Hills Station - Mattapan Station","",1,50300000,"50413237"
"241","30-2-1","30",1,"Mattapan Station - Forest Hills Station","",1,50300100,"50413271"
"242","31-_-0","31",0,"Forest Hills Station - Mattapan Station","",1,50310000,"50413632"
"243","31-_-1","31",1,"Mattapan Station - Forest Hills Station","",1,50310100,"50413634"
"244","32-1-0","32",0,"Forest Hills Station - Wolcott Square","",1,50320000,"50412066_2"
"245","32-_-0","32",0,"Forest Hills Station - Cleary Square","School days only",3,50320004,"50412077"
"246","32-3-0","32",0,"Forest Hills Station - Wolcott Square via Westinghouse Plaza","School days only",3,50320006,"50412063"
"247","32-9-0","32",0,"Wolcott Square - Townsend St & Humboldt Ave","School days only",3,50320008,"50412001"
"248","32-1-1","32",1,"Wolcott Square - Forest Hills Station","",1,50320100,"50413845"
"249","32-_-1","32",1,"Cleary Square - Forest Hills Station","School days only",3,50320104,"50412079"
"250","32-3-1","32",1,"Wolcott Square - Forest Hills Station via Westinghouse Plaza","School days only",3,50320106,"50412064"
"251","32-9-1","32",1,"Townsend St & Humboldt Ave - Wolcott Square","School days only",3,50320108,"50412059"
"252","32-C-1","32",1,"Wolcott Square - Forest Hills Station","School days only",3,50320110,"50411986_1"
"253","3233-5-0","3233",0,"Forest Hills Station - River St & Milton St","Early mornings only",1,50321000,"50411950"
"254","33-5-0","33",0,"Mattapan Station - River St & Milton St via West Milton St (AM Route)","",1,50330000,"50411952"
"255","33-6-0","33",0,"Mattapan Station - River St & Milton St (PM Route)","Weekdays only",1,50330004,"50411965"
"256","33-1-0","33",0,"Mattapan Station - River St & Milton St via Westinghouse Plz","School days only",3,50330007,"50413230"
"257","33-5-1","33",1,"River St & Milton St - Mattapan Station (AM Route)","",1,50330100,"50411951"
"258","33-6-1","33",1,"River St & Milton St - Mattapan Station via West Milton St (PM Route)","Weekdays only",2,50330104,"50411966"
"259","33-1-1","33",1,"River St & Milton St - Mattapan Station via Westinghouse Plz","School days only",3,50330107,"50412062"
