"","service_id","service_description","service_schedule_name","service_schedule_type","service_schedule_typicality","rating_start_date","rating_end_date","rating_description"
"569","FLL 21-N-Wdy-5","Weekday schedule (modified service)","Weekday (modified service)","Weekday",4,20211011,NA,"Fall"
"570","FLL 21-N-Wdy-5-S6d","Weekday schedule (modified service)","Weekday (modified service)","Weekday",4,20211011,NA,"Fall"
"571","FLL 21-N-Wdy-5-S72","Weekday schedule (modified service)","Weekday (modified service)","Weekday",4,20211011,NA,"Fall"
"572","FLL 21-N-Wdy-5-S9d378dcf-MRRct","Weekday schedule (modified service)","Weekday (modified service)","Weekday",1,20211011,NA,"Fall"
"573","FLL 21-N-Wdy-83","Weekday schedule (modified service)","Weekday (modified service)","Weekday",1,20211011,NA,"Fall"
"574","FLL 21-S-Sa-1","Saturday schedule","Saturday","Saturday",1,20211011,NA,"Fall"
"575","FLL 21-S-Sa-1-RdlSthStnFMT","Saturday schedule","Saturday","Saturday",4,20211011,NA,"Fall"
"576","FLL 21-S-Sa-1-S0f","Saturday schedule","Saturday","Saturday",1,20211011,NA,"Fall"
"577","FLL 21-S-Sa-1-S8f","Saturday schedule","Saturday","Saturday",1,20211011,NA,"Fall"
"578","FLL 21-S-Sa-1-Sb6","Saturday schedule","Saturday","Saturday",1,20211011,NA,"Fall"
"579","FLL 21-S-Sa-1-Sc0","Saturday schedule","Saturday","Saturday",1,20211011,NA,"Fall"
"580","FLL 21-S-Sa-33","Saturday schedule (modified service)","Saturday (modified service)","Saturday",4,20211011,NA,"Fall"
"581","FLL 21-S-Su-1","Sunday schedule","Sunday","Sunday",1,20211011,NA,"Fall"
"582","FLL 21-S-Su-1-RdlSthStnFMT","Sunday schedule","Sunday","Sunday",4,20211011,NA,"Fall"
"583","FLL 21-S-Su-1-S0f","Sunday schedule","Sunday","Sunday",1,20211011,NA,"Fall"
"584","FLL 21-S-Su-1-S8f","Sunday schedule","Sunday","Sunday",1,20211011,NA,"Fall"
"585","FLL 21-S-Su-1-Sb6","Sunday schedule","Sunday","Sunday",1,20211011,NA,"Fall"
"586","FLL 21-S-Su-1-Sc0","Sunday schedule","Sunday","Sunday",1,20211011,NA,"Fall"
"587","FLL 21-S-Su-33","Sunday schedule (modified service)","Sunday (modified service)","Sunday",4,20211011,NA,"Fall"
"588","FLL 21-S-Wdy-1","Weekday schedule","Weekday","Weekday",1,20211011,NA,"Fall"
"589","FLL 21-S-Wdy-1-S0f","Weekday schedule","Weekday","Weekday",1,20211011,NA,"Fall"
"590","FLL 21-S-Wdy-33","Weekday schedule (modified service)","Weekday (modified service)","Weekday",4,20211011,NA,"Fall"
"591","FLL 21-S-Wdy-BIKEADJ1-S8f","Weekday schedule (modified service)","Weekday (modified service)","Weekday",4,20211011,NA,"Fall"
"592","FLL 21-S-Wdy-BIKEADJ1-Sb6","Weekday schedule (modified service)","Weekday (modified service)","Weekday",4,20211011,NA,"Fall"
"593","FLL 21-S-Wdy-BIKEADJ1-Sc0","Weekday schedule (modified service)","Weekday (modified service)","Weekday",4,20211011,NA,"Fall"
"594","LRV222-hlb22016-Sa-01","Saturday schedule","Saturday","Saturday",1,20220313,20220618,"Spring"
"595","LRV222-hlb22016-Sa-01-NwnHgsRvd","Saturday schedule","Saturday","Saturday",4,20220313,20220618,"Spring"
"596","LRV222-hlb22016-Sa-01-RsrRvd","Saturday schedule","Saturday","Saturday",4,20220313,20220618,"Spring"
"597","LRV222-hlb22017-Su-01","Sunday schedule","Sunday","Sunday",1,20220313,20220618,"Spring"
"598","LRV222-hlb22017-Su-01-NwnHgsRvd","Sunday schedule","Sunday","Sunday",4,20220313,20220618,"Spring"
"599","LRV222-hlb22017-Su-01-RsrRvd","Sunday schedule","Sunday","Sunday",4,20220313,20220618,"Spring"
"600","MemorialDay","Holiday (Sunday schedule)","Holiday","Sunday",3,20220313,20220618,"Spring"
"601","PRIV222-hpj22017-Su-01","Sunday schedule","Sunday","Sunday",1,20220313,20220618,"Spring"
"602","RTL222-hmb22011-Wdy-01","Weekday schedule","Weekday","Weekday",1,20220313,20220618,"Spring"
"603","RTL222-hmb22011-Wdy-01-ArtBwnVGt","Weekday schedule","Weekday","Weekday",4,20220313,20220618,"Spring"
"604","RTL222-hmb22011-Wdy-01-OrtHgsWnd","Weekday schedule","Weekday","Weekday",4,20220313,20220618,"Spring"
"605","RTL222-hmb22016-Sa-01","Saturday schedule","Saturday","Saturday",1,20220313,20220618,"Spring"
"606","RTL222-hmb22016-Sa-01-ArtBwnVGt","Saturday schedule","Saturday","Saturday",4,20220313,20220618,"Spring"
"607","RTL222-hmb22016-Sa-01-OrtHgsWnd","Saturday schedule","Saturday","Saturday",4,20220313,20220618,"Spring"
"608","RTL222-hmb22017-Su-01","Sunday schedule","Sunday","Sunday",1,20220313,20220618,"Spring"
"609","RTL222-hmb22017-Su-01-ArtBwnVGt","Sunday schedule","Sunday","Sunday",4,20220313,20220618,"Spring"
"610","RTL222-hmb22017-Su-01-OrtHgsWnd","Sunday schedule","Sunday","Sunday",4,20220313,20220618,"Spring"
"611","RTL222-hms22016-Sa-01","Saturday schedule","Saturday","Saturday",1,20220313,20220618,"Spring"
"612","RTL222-hms22016-Sa-01-AlfHrd","Saturday schedule","Saturday","Saturday",4,20220313,20220618,"Spring"
"613","RTL222-hms22017-Su-01","Sunday schedule","Sunday","Sunday",1,20220313,20220618,"Spring"
"614","RTL222-hms22017-Su-01-AlfHrd","Sunday schedule","Sunday","Sunday",4,20220313,20220618,"Spring"
"615","SpringSaturday","Saturday schedule","Saturday","Saturday",1,20220313,20220618,"Spring"
"616","SpringSunday","Sunday schedule","Sunday","Sunday",1,20220313,20220618,"Spring"
"617","SpringWeekday","Weekday schedule","Weekday","Weekday",1,20220313,20220618,"Spring"
"618","BUS32022-hbb32hl7-Sunday-02","Holiday (Sunday schedule)","Holiday","Sunday",3,20220619,20220827,"Summer"
"619","BUS32022-hbc32hl7-Sunday-02","Holiday (Sunday schedule)","Holiday","Sunday",3,20220619,20220827,"Summer"
"620","BUS32022-hbg32hl7-Sunday-02","Holiday (Sunday schedule)","Holiday","Sunday",3,20220619,20220827,"Summer"
"621","BUS32022-hbl32hl7-Sunday-02","Holiday (Sunday schedule)","Holiday","Sunday",3,20220619,20220827,"Summer"
"622","BUS32022-hbq32hl7-Sunday-02","Holiday (Sunday schedule)","Holiday","Sunday",3,20220619,20220827,"Summer"
"623","BUS32022-hbs32hl7-Sunday-02","Holiday (Sunday schedule)","Holiday","Sunday",3,20220619,20220827,"Summer"
"624","BUS32022-hbt32hl7-Sunday-02","Holiday (Sunday schedule)","Holiday","Sunday",3,20220619,20220827,"Summer"
"625","Boat-F1-Saturday-Summer-22","Saturday schedule","Saturday","Saturday",1,20220523,NA,"Summer"
"626","Boat-F1-Sunday-Summer-22","Sunday schedule","Sunday","Sunday",1,20220523,NA,"Summer"
"627","Boat-F1-Weekday-Summer-22","Weekday schedule","Weekday","Weekday",1,20220523,NA,"Summer"
"628","Boat-F4-Saturday-Summer-22","Saturday schedule","Saturday","Saturday",1,20220523,NA,"Summer"
"629","Boat-F4-Sunday-Summer-22","Sunday schedule","Sunday","Sunday",1,20220523,NA,"Summer"
"630","Boat-F4-Weekday-Summer-22","Weekday schedule","Weekday","Weekday",1,20220523,NA,"Summer"
"631","CR-Newburyport-LateMayShuttle-Snd","Sunday schedule","Sunday","Sunday",4,20220523,NA,"Spring/Summer"
"632","CR-Newburyport-LateMayShuttle-Std","Saturday schedule","Saturday","Saturday",4,20220523,NA,"Spring/Summer"
"633","CR-Newburyport-LateMayShuttle-Wkd","Weekday schedule","Weekday","Weekday",4,20220523,NA,"Spring/Summer"
"634","LRV22022-hlb22016-Saturday-01","Saturday schedule","Saturday","Saturday",1,20220313,20220618,"Spring"
"635","LRV22022-hlb22016-Saturday-01-RsrRvd","Saturday schedule","Saturday","Saturday",4,20220313,20220618,"Spring"
"636","LRV22022-hlb22017-Sunday-01","Sunday schedule","Sunday","Sunday",1,20220313,20220618,"Spring"
"637","LRV22022-hlb22017-Sunday-01-RsrRvd","Sunday schedule","Sunday","Sunday",4,20220313,20220618,"Spring"
"638","LRV32022-hlb32011-Weekday-01","Weekday schedule","Weekday","Weekday",1,20220619,20220827,"Summer"
"639","LRV32022-hlb32011-Weekday-01-CldCrlKnr","Weekday schedule","Weekday","Weekday",4,20220619,20220827,"Summer"
